Record Date,Series Code,Series Description,Bonds Issued Count,Redeemed Bonds Count,Bonds Outstanding Count,Matured Bonds Count,Unmatured Bonds Count,Matured Redeemed Bonds Count,Matured Unredeemed Bonds Count,Unmatured Redeemed Bonds Count,Unmatured Unredeemed Bonds Count,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
"2021-05-31","E","Series E","4599418700","4576435424","22983276","4599418700","0","4576435424","22983276","0","0","1","2021","3","2021","2","05","31"
"2021-05-31","EE","Series EE","1976146335","1666319434","309826905","960374873","1015771462","904004066","56370807","762315364","253456098","2","2021","3","2021","2","05","31"
"2021-05-31","SN","Savings Notes","30850113","30697418","152695","30850113","0","30697418","152695","0","0","3","2021","3","2021","2","05","31"
"2021-05-31","H","Series H","16386525","16356616","29909","16386525","0","16356616","29909","0","0","4","2021","3","2021","2","05","31"
"2021-05-31","HH","Series HH","14941799","13326751","1615048","11581153","3360646","11176221","404932","2150530","1210116","5","2021","3","2021","2","05","31"
"2021-05-31","A-D","Series A-D","18559885","18552011","7874","18559885","0","18552011","7874","0","0","6","2021","3","2021","2","05","31"
"2021-05-31","F","Series F","5624339","5615232","9107","5624339","0","5615232","9107","0","0","7","2021","3","2021","2","05","31"
"2021-05-31","G","Series G","17260002","17254446","5556","17260002","0","17254446","5556","0","0","8","2021","3","2021","2","05","31"
"2021-05-31","I","Series I","178812643","148962868","29849775","0","178812643","0","0","148962868","29849775","9","2021","3","2021","2","05","31"
"2021-05-31","J","Series J","793354","791581","1773","793354","0","791581","1773","0","0","10","2021","3","2021","2","05","31"
"2021-05-31","K","Series K","936780","936673","107","936780","0","936673","107","0","0","11","2021","3","2021","2","05","31"
"2021-05-31","R","Series R","562439","553311","9128","0","562439","0","0","553311","9128","12","2021","3","2021","2","05","31"
"2021-05-31","P","Series P","194335","191486","2849","0","194335","0","0","191486","2849","13","2021","3","2021","2","05","31"
"2021-05-31","null","All Series","6860487249","6495993251","364494002","5661785724","1198701525","5581819688","79966036","914173559","284527966","14","2021","3","2021","2","05","31"
"2021-04-30","E","Series E","4599418700","4576435424","22983276","4599418700","0","4576435424","22983276","0","0","1","2021","3","2021","2","04","30"
"2021-04-30","EE","Series EE","1976146335","1666319434","309826905","960374873","1015771462","904004066","56370807","762315364","253456098","2","2021","3","2021","2","04","30"
"2021-04-30","SN","Savings Notes","30850113","30697418","152695","30850113","0","30697418","152695","0","0","3","2021","3","2021","2","04","30"
